92,73,19,9.5,4.75,2.793,1.9551
66,53,13,6.5,3.25,,
152,136,16,8,4,,
298,270,28,14,7,,
166,148,18,9,4.5,,
64,58,6,3,1.5,,
838,738,100,,,,
,,0.119331742,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
92,73,19,14,5,,
66,53,13,10,3,,
152,136,16,14,2,,
298,270,28,20,8,,
166,148,18,15,3,,
64,58,6,5,1,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
<65,600,2+5,,,,
>=65,68,,,,,
