Initial,YR1,YR2,XT1,XT2
-1.38777878078145e-17,0.050699 [0.050699 0.050699], 0.16773 [ 0.16773  0.16773], 0.013895 [0.0091539  0.020055],  0.2048 [ 0.19124  0.21536]
-6.93889390390723e-18, 0.16018 [ 0.16018  0.16018], 0.40505 [ 0.40505  0.40505], 0.024114 [ 0.015961  0.034679], 0.31227 [ 0.29625  0.32487]
0,0.064787 [0.064787 0.064787], 0.19293 [ 0.19293  0.19293], 0.013093 [0.0084277  0.018864], 0.20579 [ 0.18952  0.21769]
-6.93889390390723e-18,0.017594 [0.017594 0.017594], 0.07369 [ 0.07369  0.07369], 0.013868 [0.0092302  0.020073], 0.21193 [ 0.19877  0.22277]
0,-0.02757 [-0.02757 -0.02757],0.076003 [0.076003 0.076003],0.0021723 [0.0014827 0.0032308],0.039288 [0.033797 0.043299]
