YR1,YR2,XT1,XT2
3.7573 [3.7573 3.7573],4.7952 [4.7952 4.7952],2.8793 [2.7685 3.0403],4.2891 [3.9835 4.4955]
3.9231 [3.9231 3.9231],   5.8 [   5.8    5.8],3.4019 [ 3.089 3.8289],5.3366 [4.9584 5.8156]
4.0833 [4.0833 4.0833],4.9167 [4.9167 4.9167],2.9174 [ 2.777 3.0493], 4.536 [4.2933 4.6916]
3.5217 [3.5217 3.5217],3.6667 [3.6667 3.6667],2.7886 [2.6814 2.8898],3.7923 [3.3317  4.152]
2.6667 [2.6667 2.6667], 3.625 [ 3.625  3.625],2.5252 [2.5108 2.5427],2.8642 [2.6942 3.3098]
