Parameters,Mean,CI
beta,0.0736991570380971,[0.072844-0.075683]
AbB1,5.77813487911043,[5.456-6.693]
AbB2,4.74131478172584,[4.5505-5.2592]
AbB3,4.215578043203,[4.005-4.8207]
AbB4,3.70333216218311,[3.2308-4.9117]
immune_alpha1,1.5266343573042,[0.93276-3.0028]
immune_alpha2,3.97451991310176,[2.8741-5.927]
immune_alpha3,1.46304828013791,[1.0089-2.5979]
immune_alpha4,2.11648762839941,[1.1845-5.3379]
immune_beta,4.4088450292206,[4.1847-4.9029]
